user_type,trip_time,no_of_user,avg_ride_length,day_of_week
casual,2021 12,5490,00:23:34,1
casual,2021 12,4884,00:21:40,2
casual,2021 12,3873,00:19:12,3
casual,2021 12,6595,00:19:11,4
casual,2021 12,8063,00:19:19,5
casual,2021 12,8289,00:20:30,6
casual,2021 12,7490,00:22:21,7
member,2021 12,10834,00:11:36,1
member,2021 12,16830,00:10:21,2
member,2021 12,16560,00:10:09,3
member,2021 12,25061,00:10:27,4
member,2021 12,25637,00:10:42,5
member,2021 12,21077,00:10:49,6
member,2021 12,13322,00:11:39,7
casual,2022 01,1680,00:22:04,1
casual,2022 01,1597,00:21:34,2
casual,2022 01,1577,00:16:11,3
casual,2022 01,1559,00:19:20,4
casual,2022 01,1726,00:17:52,5
casual,2022 01,1684,00:18:38,6
casual,2022 01,2658,00:18:53,7
member,2022 01,6786,00:11:07,1
member,2022 01,10345,00:10:29,2
member,2022 01,10752,00:10:17,3
member,2022 01,10309,00:10:12,4
member,2022 01,11171,00:09:55,5
member,2022 01,8959,00:10:26,6
member,2022 01,8253,00:10:45,7
casual,2022 02,3148,00:27:55,1
casual,2022 02,3132,00:23:07,2
casual,2022 02,1864,00:19:15,3
casual,2022 02,1785,00:19:24,4
casual,2022 02,1259,00:18:56,5
casual,2022 02,1814,00:19:08,6
casual,2022 02,1970,00:21:54,7
member,2022 02,8682,00:11:52,1
member,2022 02,14500,00:10:49,2
member,2022 02,12860,00:10:15,3
member,2022 02,11234,00:10:25,4
member,2022 02,9111,00:10:31,5
member,2022 02,9030,00:11:15,6
member,2022 02,7266,00:10:55,7
casual,2022 03,12822,00:30:51,1
casual,2022 03,10724,00:29:57,2
casual,2022 03,7064,00:20:42,3
casual,2022 03,10728,00:25:48,4
casual,2022 03,8449,00:21:32,5
casual,2022 03,4897,00:20:24,6
casual,2022 03,11726,00:31:07,7
member,2022 03,16280,00:13:50,1
member,2022 03,22391,00:12:33,2
member,2022 03,26233,00:10:47,3
member,2022 03,27819,00:11:50,4
member,2022 03,24215,00:10:45,5
member,2022 03,15040,00:11:04,6
member,2022 03,14519,00:14:03,7
casual,2022 04,14428,00:28:07,1
casual,2022 04,8258,00:23:17,2
casual,2022 04,10115,00:22:22,3
casual,2022 04,6797,00:19:42,4
casual,2022 04,11739,00:23:57,5
casual,2022 04,11615,00:22:02,6
casual,2022 04,27864,00:31:05,7
member,2022 04,18084,00:13:02,1
member,2022 04,24970,00:10:58,2
member,2022 04,30124,00:10:57,3
member,2022 04,23534,00:10:47,4
member,2022 04,28129,00:11:34,5
member,2022 04,25342,00:11:15,6
member,2022 04,27540,00:14:00,7
casual,2022 05,44234,00:30:50,1
casual,2022 05,36959,00:30:01,2
casual,2022 05,26486,00:25:16,3
casual,2022 05,17501,00:23:39,4
casual,2022 05,25107,00:25:27,5
casual,2022 05,24269,00:24:54,6
casual,2022 05,42382,00:29:58,7
member,2022 05,37581,00:14:50,1
