start_station_name,casual_user,member_user
Streeter Dr & Grand Ave,54618,15994
DuSable Lake Shore Dr & Monroe St,30436,8894
Millennium Park,23921,8782
Michigan Ave & Oak St,23561,13357
DuSable Lake Shore Dr & North Blvd,21944,15397
Shedd Aquarium,19417,4471
Theater on the Lake,17230,13800
Wells St & Concord Ln,14789,19697
Dusable Harbor,13272,4911
Clark St & Armitage Ave,12712,14015
Indiana Ave & Roosevelt Rd,12687,12688
Clark St & Lincoln Ave,12445,12834
Clark St & Elm St,11943,20520
Montrose Harbor,11572,7275
Wells St & Elm St,11500,17494
Adler Planetarium,10837,4430
Clark St & Newport St,10781,10340
Wabash Ave & Grand Ave,10684,14987
Michigan Ave & 8th St,10674,5847
Broadway & Barry Ave,10559,16090
Michigan Ave & Washington St,10428,12021
Wilton Ave & Belmont Ave,10325,14239
New St & Illinois St,9941,10170
LaSalle St & Illinois St,9823,12058
Clark St & Wrightwood Ave,9538,14280
DuSable Lake Shore Dr & Diversey Pkwy,9537,11101
Larrabee St & Webster Ave,9489,11334
DuSable Lake Shore Dr & Belmont Ave,9347,8898
Lakeview Ave & Fullerton Pkwy,9239,11337
Michigan Ave & Lake St,9172,10993
Sheffield Ave & Waveland Ave,8899,9937
Wells St & Evergreen Ave,8885,10424
McClurg Ct & Ohio St,8824,10054
Wells St & Huron St,8804,15057
Dearborn St & Erie St,8615,15554
Halsted St & Roscoe St,8483,10932
DuSable Lake Shore Dr & Wellington Ave,8345,9734
Clark St & Drummond Pl,8264,12594
Damen Ave & Pierce Ave,8180,10900
Ashland Ave & Division St,8068,13169
Kingsbury St & Kinzie St,8024,23588
Sheffield Ave & Fullerton Ave,7953,13819
Wells St & Hubbard St,7934,14620
Lincoln Ave & Fullerton Ave,7854,10926
St. Clair St & Erie St,7789,15682
Halsted St & Wrightwood Ave,7695,11283
Wabash Ave & Roosevelt Rd,7642,12327
Southport Ave & Roscoe St,7622,10999
Michigan Ave & Jackson Blvd,7498,4769
Fairbanks Ct & Grand Ave,7461,10863
Broadway & Cornelia Ave,7341,12144
Green St & Madison St,7335,13578
Sheffield Ave & Wrightwood Ave,7318,8762
Southport Ave & Waveland Ave,7183,10067
Clark St & Schiller St,7178,11481
Broadway & Waveland Ave,7171,12676
State St & Randolph St,7094,10358
Dearborn Pkwy & Delaware Pl,7028,12856
Lincoln Park Conservatory,6901,4990
Field Museum,6898,1672
Halsted St & Clybourn Ave,6829,12186
Pine Grove Ave & Waveland Ave,6771,11041
Columbus Dr & Randolph St,6702,10792
Clinton St & Madison St,6678,17862
Sheffield Ave & Wellington Ave,6642,9668
Rush St & Cedar St,6612,9141
Clark St & Wellington Ave,6601,9242
Sheffield Ave & Webster Ave,6478,9551
Wabash Ave & Wacker Pl,6390,5335
State St & Chicago Ave,6278,11003
Broadway & Belmont Ave,6246,8904
Wilton Ave & Diversey Pkwy,6239,10215
Sedgwick St & North Ave,6220,8644
Federal St & Polk St,6217,10601
Halsted St & Dickens Ave,6177,9066
Racine Ave & Belmont Ave,6138,6699
Sheridan Rd & Irving Park Rd,6090,10526
Stockton Dr & Wrightwood Ave,6067,8622
Mies van der Rohe Way & Chestnut St,6063,8648
Desplaines St & Kinzie St,5925,13344
Franklin St & Jackson Blvd,5871,9937
Buckingham Fountain,5812,1092
Canal St & Adams St,5793,14898
Clark St & North Ave,5793,6150
Wabash Ave & 9th St,5784,8120
Lakefront Trail & Bryn Mawr Ave,5764,6840
Clark St & Grace St,5724,6689
Kedzie Ave & Milwaukee Ave,5558,5637
Cityfront Plaza Dr & Pioneer Ct,5553,6379
Field Blvd & South Water St,5503,5804
Milwaukee Ave & Grand Ave,5410,8589
State St & Kinzie St,5355,9120
Clark St & Lake St,5311,9148
Rush St & Superior St,5273,9184
McClurg Ct & Erie St,5255,9641
Sedgwick St & Webster Ave,5248,8012
Mies van der Rohe Way & Chicago Ave,5243,8991
Clinton St & Washington Blvd,5242,18549
Michigan Ave & Pearson St,5199,4652
Clark St & Winnemac Ave,5177,8158
California Ave & Milwaukee Ave,5172,5739
Dearborn St & Monroe St,5129,11362
Damen Ave & Cortland St,5111,5712
Wood St & Milwaukee Ave,5109,7821
Pine Grove Ave & Irving Park Rd,5074,8894
Broadway & Sheridan Rd,5073,8710
Southport Ave & Wrightwood Ave,5064,5804
Lincoln Ave & Diversey Pkwy,5035,9222
Franklin St & Chicago Ave,4985,10253
Michigan Ave & Madison St,4979,5106
Franklin St & Illinois St,4932,8474
