start_station_name,start_station_casual,start_station_member,end_station_name,end_station_casual,end_station_member
Streeter Dr & Grand Ave,54618,15994,Streeter Dr & Grand Ave,57488,14534
DuSable Lake Shore Dr & Monroe St,30436,8894,DuSable Lake Shore Dr & Monroe St,28456,9914
Millennium Park,23921,8782,Millennium Park,25752,7952
Michigan Ave & Oak St,23561,13357,Michigan Ave & Oak St,25255,12777
DuSable Lake Shore Dr & North Blvd,21944,15397,DuSable Lake Shore Dr & North Blvd,25099,15069
Shedd Aquarium,19417,4471,Shedd Aquarium,17989,5136
Theater on the Lake,17230,13800,Theater on the Lake,18551,12872
Dusable Harbor,13272,4911,Dusable Harbor,12730,5369
Montrose Harbor,11572,7275,Montrose Harbor,11407,7140
Adler Planetarium,10837,4430,Adler Planetarium,10119,4429
Clark St & Newport St,10781,10340,Clark St & Newport St,10987,10303
Michigan Ave & 8th St,10674,5847,Michigan Ave & 8th St,9616,4930
DuSable Lake Shore Dr & Belmont Ave,9347,8898,DuSable Lake Shore Dr & Belmont Ave,9617,9108
Michigan Ave & Jackson Blvd,7498,4769,Michigan Ave & Jackson Blvd,7357,4350
Lincoln Park Conservatory,6901,4990,Lincoln Park Conservatory,6737,4902
Field Museum,6898,1672,Field Museum,5450,1728
Wabash Ave & Wacker Pl,6390,5335,Wabash Ave & Wacker Pl,6808,4896
Buckingham Fountain,5812,1092,Buckingham Fountain,5204,981
Michigan Ave & Pearson St,5199,4652,Michigan Ave & Pearson St,5358,4573
Wentworth Ave & Cermak Rd,4739,4559,Wentworth Ave & Cermak Rd,5173,4830
Michigan Ave & Ida B Wells Dr,4409,2811,Michigan Ave & Ida B Wells Dr,4562,2666
McCormick Place,3941,1678,McCormick Place,4071,1534
Cannon Dr & Fullerton Ave,3818,2324,Cannon Dr & Fullerton Ave,3908,2440
Museum of Science and Industry,2675,1632,Museum of Science and Industry,2711,1511
Calumet Ave & 21st St,2387,1598,Calumet Ave & 21st St,2530,1544
Chicago Ave & Sheridan Rd,2203,2088,Chicago Ave & Sheridan Rd,2374,2076
Wabash Ave & Cermak Rd,1764,1530,Wabash Ave & Cermak Rd,1959,1601
California Ave & Fletcher St,1504,1329,California Ave & Fletcher St,1907,1711
Buckingham Fountain (Temp),1471,753,Buckingham Fountain (Temp),1453,699
Wells St & 19th St,1258,923,Wells St & 19th St,1233,1062
